City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kirakira,-10.4544,161.9205,301.07,80,97,4.02,SB,1729391376
1,hermanus,-34.4187,19.2345,283.6,82,12,3.6,ZA,1729391377
2,qaqortoq,60.7167,-46.0333,272.75,49,2,0.83,GL,1729391379
3,puerto natales,-51.7236,-72.4875,279.69,97,96,1.23,CL,1729391380
4,adamstown,-25.066,-130.1015,295.18,85,100,8.33,PN,1729391382
5,west island,-12.1568,96.8225,300.14,65,26,7.72,CC,1729391383
6,wailua homesteads,22.0669,-159.378,301.0,77,0,7.2,US,1729391384
7,flying fish cove,-10.4217,105.6791,296.97,94,100,1.54,CX,1729391385
8,vilyuysk,63.7553,121.6247,261.63,90,100,3.24,RU,1729391386
9,grytviken,-54.2811,-36.5092,269.53,73,13,2.18,GS,1729391387
10,ushuaia,-54.8,-68.3,278.96,61,40,7.2,AR,1729391342
11,pangody,65.85,74.4859,273.6,97,100,3.04,RU,1729391390
12,whitehorse,60.7161,-135.0538,265.94,72,100,2.06,CA,1729391391
13,rongelap,11.1635,166.8941,301.5,80,80,7.74,MH,1729391392
14,margaret river,-33.95,115.0667,291.23,76,100,7.57,AU,1729391393
15,albany,42.6001,-73.9662,282.82,74,0,1.34,US,1729391371
16,krasnovishersk,60.4078,57.082,276.59,98,100,1.29,RU,1729391396
17,lorengau,-2.0226,147.2712,302.09,75,48,2.93,PG,1729391397
18,vorgashor,67.5833,63.95,273.99,99,100,7.21,RU,1729391398
19,puerto ayora,-0.7393,-90.3518,293.46,98,100,3.58,EC,1729391399
20,marsh harbour,26.5412,-77.0636,299.33,68,100,9.18,BS,1729391400
21,nemuro,43.3236,145.575,281.2,54,42,9.72,JP,1729391401
22,guarapari,-20.6667,-40.4975,296.26,92,99,3.69,BR,1729391402
23,talnakh,69.4865,88.3972,267.78,93,100,7.3,RU,1729391404
24,mejit,10.2753,170.8646,300.93,81,66,7.13,MH,1729391405
25,hastings,50.8552,0.5729,286.03,54,100,6.36,GB,1729391342
26,ostashkov,57.1467,33.1075,276.45,77,75,2.01,RU,1729391407
27,papatowai,-46.5619,169.4708,290.66,51,100,1.23,NZ,1729391408
28,waitangi,-43.9535,-176.5597,283.73,71,3,0.94,NZ,1729391410
29,kuressaare,58.2481,22.5039,282.12,85,85,5.14,EE,1729391411
30,longyearbyen,78.2186,15.6401,276.06,87,75,10.8,SJ,1729391412
31,bethel,41.3712,-73.414,285.0,78,0,0.84,US,1729391413
32,bubaque,11.2833,-15.8333,300.94,79,92,3.27,GW,1729391414
33,atafu village,-8.5421,-172.5159,301.76,67,66,6.25,TK,1729391415
34,nagqu,31.5,92.0,272.74,11,100,2.73,CN,1729391418
35,mugia,43.1041,-9.2179,292.54,94,100,12.18,ES,1729391419
36,saraqib,35.8645,36.8059,285.04,28,0,1.73,SY,1729391420
37,blackmans bay,-43.0167,147.3167,291.22,77,73,3.55,AU,1729391421
38,hawaiian paradise park,19.5933,-154.9731,300.3,72,40,4.12,US,1729391422
39,invercargill,-46.4,168.35,291.09,47,100,2.82,NZ,1729391423
40,petropavlovsk-kamchatsky,53.0452,158.6483,283.48,37,40,8.0,RU,1729391425
41,port augusta,-32.5,137.7667,301.13,23,13,2.45,AU,1729391426
42,tarawa,1.419,172.984,304.2,70,40,6.17,KI,1729391427
43,san agustin de valle fertil,-30.6335,-67.4682,294.68,68,0,5.74,AR,1729391428
44,st. john's,47.5649,-52.7093,283.13,91,100,5.14,CA,1729391429
45,pisco,-13.7,-76.2167,291.18,88,0,5.66,PE,1729391343
46,mount pearl,47.5166,-52.7813,282.67,90,100,5.14,CA,1729391431
47,ribeira grande,38.5167,-28.7,291.91,79,100,0.45,PT,1729391433
48,turpan,42.9333,89.1667,287.3,29,70,0.61,CN,1729391434
49,port-aux-francais,-49.35,70.2167,275.74,79,100,3.76,TF,1729391435
50,lerwick,60.1545,-1.1494,283.18,86,5,4.19,GB,1729391436
51,ancud,-41.8697,-73.8203,282.92,92,11,3.16,CL,1729391437
52,klyuchi,52.2667,79.1667,276.74,56,60,2.59,RU,1729391438
53,christchurch,-43.5333,172.6333,292.77,55,96,5.66,NZ,1729391370
54,mao,39.8885,4.2658,289.46,82,0,2.57,ES,1729391442
55,dunedin,-45.8742,170.5036,287.72,75,100,2.0,NZ,1729391301
56,anzin,50.372,3.5039,285.65,87,100,4.32,FR,1729391444
57,wamba,8.9333,8.6,295.06,91,94,0.41,NG,1729391445
58,georgetown,5.4112,100.3354,301.11,82,20,2.68,MY,1729391446
59,yanykurgan,43.915,67.2481,286.08,30,77,1.4,KZ,1729391448
60,balkanabat,39.5108,54.3671,289.93,69,39,0.74,TM,1729391449
61,guozhen,34.3659,107.359,281.21,82,100,0.98,CN,1729391450
62,el porvenir,13.7617,-87.3458,295.35,97,100,1.68,HN,1729391451
63,kristiansund,63.1115,7.732,283.78,93,75,3.6,NO,1729391452
64,belmonte,-15.8631,-38.8828,297.38,89,28,3.72,BR,1729391453
65,college,64.8569,-147.8028,264.3,77,100,2.06,US,1729391455
66,colonia,50.9333,6.95,285.3,90,0,3.09,DE,1729391456
67,dudinka,69.4058,86.1778,269.52,94,100,9.45,RU,1729391457
68,mata-utu,-13.2816,-176.1745,301.16,74,30,5.72,WF,1729391458
69,thompson,55.7435,-97.8558,277.24,75,20,2.06,CA,1729391459
70,port alfred,-33.5906,26.891,287.14,99,100,3.21,ZA,1729391460
71,avarua,-21.2078,-159.775,298.18,78,75,9.77,CK,1729391461
72,lebu,-37.6167,-73.65,283.97,83,97,5.24,CL,1729391463
73,iqaluit,63.7506,-68.5145,272.98,86,100,4.92,CA,1729391464
74,ilulissat,69.2167,-51.1,265.16,57,20,5.14,GL,1729391465
75,broken hill,-31.95,141.4333,296.94,31,5,5.39,AU,1729391466
76,polyarnyy,69.1989,33.4478,279.62,92,100,4.83,RU,1729391468
77,pervomayskoye,43.919,46.7102,280.78,66,88,2.3,RU,1729391470
78,mattoon,39.4831,-88.3728,285.12,76,0,2.06,US,1729391259
79,jamestown,42.097,-79.2353,282.95,92,0,0.45,US,1729391472
80,bilibino,68.0546,166.4372,259.08,95,22,2.0,RU,1729391473
81,sitka,57.0531,-135.33,279.09,61,20,3.6,US,1729391474
82,nandgaon,20.3167,74.65,297.82,81,100,2.97,IN,1729391475
83,saipan,15.1355,145.701,300.54,89,100,2.57,MP,1729391476
84,orenburg,51.7727,55.0988,282.16,62,100,4.95,RU,1729391478
85,badger,64.8,-147.5333,264.29,83,100,2.06,US,1729391479
86,tobruk,32.0836,23.9764,293.63,72,91,4.75,LY,1729391480
87,rancho palos verdes,33.7445,-118.387,294.0,41,0,2.06,US,1729391481
88,porkhov,57.765,29.5561,276.3,89,15,2.11,RU,1729391482
89,inari,68.906,27.0288,280.79,98,100,2.8,FI,1729391316
90,fale old settlement,-9.3852,-171.2468,301.68,70,78,5.55,TK,1729391485
91,tazacorte,28.629,-17.9293,294.69,86,100,6.26,ES,1729391486
92,nampula,-15.1165,39.2666,294.12,94,20,3.09,MZ,1729391487
93,punta arenas,-53.15,-70.9167,280.21,70,75,5.14,CL,1729391489
94,kodiak,57.79,-152.4072,279.88,49,0,5.66,US,1729391491
95,aljezur,37.3191,-8.8033,288.76,83,74,2.38,PT,1729391492
96,aasiaat,68.7098,-52.8699,262.46,76,100,5.41,GL,1729391493
97,charters towers,-20.1,146.2667,309.04,19,0,2.08,AU,1729391497
98,rio preto da eva,-2.6994,-59.6997,303.12,49,100,0.93,BR,1729391498
99,ust-nera,64.5667,143.2,262.55,86,100,1.98,RU,1729391500
100,yellowknife,62.456,-114.3525,269.49,91,75,3.6,CA,1729391217
